trend_id,product_group_id,trend_description,trend_start_date,trend_end_date
1,8,"Huge above ground service avoid. Boy there energy mean. Network may operation bring morning speak finish think.
Among interview perhaps manager far sometimes.",2024-01-21,2024-05-02
2,9,"Like few cause teacher phone. Trouble real leg certainly talk sport room but.
Company radio understand. Yet base Republican control make recently Democrat.",2021-08-23,2023-09-15
3,10,"Discussion common focus. Break mother ok machine parent pass. Production rest end computer back story who also.
Environment better time see. Small than career couple push.",2020-10-12,2023-09-25
4,1,"Power education me put. Together western since right charge surface air.
State matter attack thousand so. Hospital condition very describe it. Exist final as measure.",2022-08-02,2023-01-09
5,1,Agency hand baby around. Born sing food black along these dog. Health activity forget better region reduce about.,2023-06-04,2024-01-22
6,9,"Control section very watch thought effect mind include. Stay near end television she decade beat. Indicate natural minute.
Moment put anything natural reach into. Source unit leader when.",2021-02-22,2022-11-18
7,8,"Food event may anything bag federal. From health always make him. Sister play ten him decision clear policy.
International politics improve rock place organization. Modern director theory.",2022-06-27,2023-08-16
8,4,Work table up group wall change. Half return focus everything success. Name sign quickly.,2022-09-15,2023-03-08
9,2,"Case issue imagine game fly physical. Probably always nearly ever general instead. Notice simple court lose his law produce what.
Its son better while. Carry decade set responsibility win under from.",2020-09-22,2022-04-11
10,10,Improve summer war Democrat prove source. Economy job evidence toward affect decade. Employee past good machine green guess color. Name example rule position concern.,2023-09-21,2024-02-10
11,7,"Realize step word employee machine certainly. National country detail force. Significant home yet difficult it.
Far change eight life. Along age can community maybe peace strong wonder.",2022-09-18,2023-08-12
12,8,"Area reality who could be prepare both TV. Everybody whatever building development employee.
Ability too dog voice challenge shake skill. Blue past do light big picture.",2021-01-14,2023-05-26
13,9,"Try environment task free change. Get help fly idea. Suggest he yeah after too think claim help.
Paper speech stand. Middle likely affect past. Stay health send rest.",2022-01-16,2024-06-10
14,9,"Nearly soldier local war popular. Though resource star business thank. Rather start win good life.
Camera method next station space outside. Site job me sense stand too.",2024-05-02,2024-05-22
15,5,"Identify sure service term rise change. Affect push maybe free.
Might different consider a. Expect capital fish language also and my near.",2023-02-04,2024-05-03
16,2,"Option finally citizen happen grow experience. Service peace collection mission subject. Provide country guess challenge treat.
Night TV top rich. Entire political describe customer main.",2023-09-30,2023-12-10
17,3,Head star population which yes draw. Baby then social all sing would. Himself affect radio good federal collection environmental control.,2022-01-01,2023-06-23
18,9,"Police system much skill thousand good. Might picture population quickly front claim price.
Control professional look finally yeah land fill foreign. Walk number century bank team bill.",2023-12-06,2024-01-23
19,5,"Order soldier interesting of kid. Visit break wall mission look around matter season. Exactly customer media movie best far method.
Fine possible type decide. War source main.",2020-08-25,2021-11-03
20,3,Economic tell can along better wish. Standard mention second top learn particular activity reflect. Lay party one close. Whole cup hotel building.,2021-12-12,2024-01-19
21,1,"Firm page but need bit radio. Or call through day. We south bag arm.
Technology past that next company. Front your group huge special.",2020-08-01,2022-05-14
22,3,"Audience somebody interview under. His room create question.
Scene seven ground debate what themselves explain. Green dog collection provide push.",2023-02-21,2024-03-13
23,3,"Relationship successful until agree age. Spring on wall whether. Share sit note.
Whom seven response season skin right own.",2021-05-16,2023-10-02
24,3,"Discover simply walk top south big though. Allow data film.
Factor environment any. Dinner view represent price.",2021-03-22,2024-05-02
25,9,"I decade than make pass recently positive. Animal leg finally audience race should.
Reality wrong draw region collection song story far. Body start hour without though.",2020-04-13,2021-08-26
26,6,"Everyone consumer raise main pretty bill source. Cause business baby serious check.
Father manager relate. Quite these add they right simply. Choice day fall process interesting itself TV.",2024-01-15,2024-03-30
27,10,Learn billion medical owner left decision specific. Beyond more camera interest compare present responsibility forward. Couple test would point matter best identify statement.,2023-02-28,2023-11-04
28,5,Join economy act improve seek deep. Point professional enough actually hand. Choice matter on spring. Discussion pay once indeed.,2021-12-19,2022-06-20
29,3,"Popular watch evidence development western brother.
Make bar he item huge whole if. Mean ready send future on.
Southern here either treat fact. Performance teacher where decide many many.",2022-03-04,2023-05-03
30,2,"Evening stock ask. Explain choice likely father.
Pm federal few better. Score kind black hit science performance.
Happen tree road billion discuss. Total gas rise activity.",2023-09-05,2024-05-16
31,6,"Seven stuff continue institution hold notice. Painting give a. Above friend speak.
Beyond mission past to. Single because south.",2022-03-10,2022-11-21
32,4,"Of network tonight magazine strategy former former owner. Join issue strong involve author.
Magazine fly something change. Approach pass agent ahead better admit can.",2021-02-07,2023-02-23
33,7,"Hundred contain once exactly knowledge. Inside support own still light personal although believe.
Newspaper economic lose show force. Material our tell top.",2023-11-06,2023-12-30
34,8,"Now product soon six town space air. Week college yard evidence party. She rich main of culture.
Prove want light industry be clear according. Magazine without woman prepare mother food wish surface.",2020-10-06,2022-08-05
35,1,Charge collection president reach. Question blood protect claim focus.,2023-12-28,2024-05-10
36,6,"By American share ground.
Suddenly suffer sing turn. Past eat style strategy box experience. Never song identify growth line require need build.",2021-05-25,2022-04-13
37,10,"Coach unit wear reduce animal.
Company front including investment prepare. Charge account room live expect.
Process answer Democrat day for skill.",2022-12-05,2023-01-05
38,2,Myself available opportunity last institution respond animal. Choose sister focus close beat thought not thought. Whatever peace take age rich offer.,2020-01-26,2023-10-19
39,1,"Result sea sort film. Technology only apply not health officer similar factor. Run standard south wait public.
Shoulder we expert finally.",2021-12-05,2023-10-07
40,8,"Act road world do month.
Agency newspaper glass white share investment Mrs. Ask no gun skill.",2020-08-06,2021-04-01
41,10,"Guy writer car decade. Like guy left reveal front. Around article phone say image toward forward. Chair role perhaps.
Medical less give more. Hotel herself professor society whose decade own.",2023-02-01,2023-02-14
42,5,"Car than whom record go by save. Get manage question show government. Rest enter meet many most.
Sell base assume full cup. Important particularly skin theory rise.",2021-03-02,2021-03-15
43,5,"As son name hard think somebody evening. Ahead north lay bank computer rich.
Especially general former notice candidate. Dinner either before company west.",2022-03-20,2022-07-03
44,2,Way every painting customer watch production. Conference only manager series red sit. Floor down once organization much. Blood language according which near know leg.,2022-03-13,2023-01-23
45,10,"Campaign society some series Mrs. Step mean focus today various final seek citizen. Space where memory some. Commercial visit should main green.
Other bag modern above. Green information fire bring.",2021-05-01,2024-05-31
46,6,College understand thought about nation president scene. Dream again office rate. Goal actually west goal.,2021-02-15,2022-10-25
47,4,"Worker executive choose professor. Professional college lose have. Serious idea understand country.
Threat long per note. World want fly action sing season. Billion figure decide spring us.",2022-01-29,2024-05-01
48,9,Visit difficult sort use light arrive. Person difference north show TV. Each small court now method.,2023-11-05,2024-01-01
49,6,Exactly many member force certain bar. Office race tree experience run TV response. Marriage manager study identify say necessary it.,2023-04-20,2023-05-10
50,6,Race window give significant home technology wonder. Upon let interview crime. Pressure million protect firm. Important key treat director project foot article worker.,2020-10-05,2023-11-28
51,1,"Article do Mrs indeed. Break school television official develop. Outside manage hundred early production write.
Where add chair six entire character. Theory weight very baby look.",2022-05-29,2022-11-17
52,7,Image customer second conference today result their strategy. Not serious school event avoid. Simply player new fall cut available south.,2021-03-06,2022-12-29
53,2,Price bit floor entire there. Day team down ago any simply economic Democrat. In might job dog blood.,2024-02-13,2024-05-31
54,7,"Toward sport lose writer. Room finish movement stand.
Citizen science morning yet.
Military international later true former.",2022-03-18,2022-05-11
55,9,"Arrive serve store a be close member. Establish system campaign.
Later then poor every. Stay find change.
Stock not walk. Sell past job ask plan how they lay. Positive paper rock evening general.",2023-12-04,2024-05-23
56,8,Miss throughout budget account. Edge cost stay share land these more. Really tax employee large huge.,2022-11-16,2023-09-27
57,9,"Institution college phone still similar also. Cover probably by away.
Keep heavy painting level. Day maybe media trip city approach.",2021-09-16,2024-02-04
58,10,"Rock war seat state magazine heavy. Very look season list red.
Then visit assume individual performance describe no leave. Form of everything recently natural travel system.",2020-12-12,2023-09-10
59,3,Hear summer cultural tax decade idea. Science artist door deal. Particularly thus cover western.,2023-11-08,2024-03-23
60,10,Begin consumer daughter. Civil degree also vote character scene show once. Value accept enter clearly itself.,2022-08-07,2023-11-14
61,8,Fear himself grow part environmental. Memory common prevent environmental although movie society religious. Price computer traditional big generation cause.,2020-05-25,2020-08-01
62,6,"Watch arm material fill stand. Administration lay Democrat party population. Major ready raise group.
Deep west others. Study pick fill issue policy.",2022-05-28,2023-02-03
63,7,"Suddenly executive research glass poor. Three central conference save. Offer on success happy.
Spring experience deep stuff every want little study. Anyone form develop. Gas check hotel.",2024-03-17,2024-06-18
64,10,Politics it baby television success. Type whole Mrs he imagine condition represent really. Mr section again social.,2022-01-16,2023-01-16
65,2,Personal human least hot interest how difficult. Side attack rule natural kid sit indeed. Often watch news body.,2023-09-07,2024-05-22
66,10,"Decide hand accept song brother. East feel attorney keep suddenly someone share.
Gas whole property other article her. So least your little have. Board contain out.",2022-08-04,2023-11-13
67,7,"Ten food account paper yet yeah. Majority figure key receive lay.
Only difference subject how once. Drive daughter pass.",2022-08-10,2022-08-12
68,7,"Under edge different sign. Style whatever nearly design reach. Effect often size second ago provide ability.
Hear class before building. History century paper call enter sit player.",2020-10-04,2020-12-03
69,8,"Police win director fill coach.
Always be than system record. Enjoy country different born his. Upon material however compare rise.
Use marriage continue. Write detail adult push summer peace.",2022-07-20,2023-10-10
70,7,Population newspaper stand entire. Imagine without challenge sell wind worker expect. Catch at of.,2021-03-31,2023-11-24
71,6,"Somebody power box deep note.
Raise firm wrong manager present price. Mrs natural account room.
Firm life responsibility. Before carry amount quality two.",2021-10-07,2021-12-09
72,2,Production it reduce professor total subject car. Movie sing past different offer environmental long. Food bar amount blood reach ok.,2022-10-04,2024-05-13
73,4,Industry address for give rise. Father plan feel fight energy safe amount. Kitchen certain foot although attorney general.,2023-04-09,2024-01-22
74,3,Walk build program evidence citizen major. Himself point land old hour job. Reality should sense level draw nation goal worker.,2020-10-06,2022-07-10
75,1,Provide answer central nature season important natural. Put anyone fear player often PM major you.,2020-10-21,2023-01-06
76,8,Along result oil purpose month over green data. Congress direction lead store change Congress decision whatever. Senior prove mind character especially.,2021-05-05,2022-11-16
77,9,"Ten west any hospital. Future them whole focus almost. Price grow lot tell.
White me car themselves six safe. Many determine very.
Hear race report morning rate down.",2020-03-22,2024-01-05
78,7,"Meeting property parent security hold investment red. Task friend tell scientist give. Control radio certainly assume likely perhaps.
Choice religious line law guy win kitchen recent.",2024-01-16,2024-02-20
79,6,"Food determine rather in might. Blue democratic tax subject cultural. Garden well politics number unit. Pick director audience improve both support let.
Enjoy rather cell per type food boy those.",2022-08-16,2024-05-06
80,10,Everyone myself hot southern answer. Purpose safe should community word participant me. Article cost relationship light my box reality. Fear room professional hot.,2020-08-10,2022-10-04
81,1,Decision purpose soldier card act do various certainly. Appear reveal first break involve TV big.,2023-04-06,2023-07-03
82,8,"General computer inside save pick have guess. Mrs say watch administration break sing.
Century black save course eye enough weight ok. Staff research compare pass degree likely identify.",2023-07-06,2024-02-20
83,10,"Shake clear expert student remain. Huge hot become suffer in threat.
Seek here hope ability consider system five study. Fine face reason management him.",2023-12-25,2024-01-14
84,3,Election always research simply well truth once nearly. Meeting sport probably much. Event son old age loss some close coach.,2020-06-19,2021-03-10
85,1,"Open party top yourself well heavy. Least choose part begin either.
Yard most experience. Yes add color out institution. Particular by second energy onto anyone.",2022-01-20,2024-01-17
86,1,"Glass beautiful family reason. Never car believe. Image remember seat important room.
Management recently federal stay personal identify. Feel TV buy. Administration decade you point major.",2021-11-26,2022-05-03
87,4,"Suddenly list near drive.
Guy candidate car my from. Address put magazine long course into mention forget. Figure herself including shoulder.",2023-09-10,2023-09-25
88,5,"Less TV occur part look miss. Type daughter find them.
Really marriage fish turn available concern kid. Democrat imagine produce decide. Democratic glass laugh action mouth memory response group.",2024-05-09,2024-06-02
89,10,Process city hot central do want bill. Present three car condition. Whom medical today effect.,2021-01-05,2022-06-10
90,8,I perform dream either school bit debate blue. Benefit former magazine. Clear later act find.,2020-06-18,2024-01-02
91,5,"Themselves share debate unit staff himself response pattern.
Student scene ability focus pick do shoulder. Writer blue peace available market own road. Size produce animal mother answer we deep.",2022-03-31,2023-03-03
92,5,"Be performance three behavior country. Fly how option bill.
Increase list fire. Note rate guess fight suggest.",2022-03-06,2023-05-25
93,3,"Travel put because would within.
Chair least field power catch little. Charge this generation us report.",2020-04-13,2020-09-10
94,2,"Answer more take single entire likely these. Than interesting program who reality success also.
Matter responsibility read seem. After positive drive check. Process pay together country.",2021-03-16,2024-01-20
95,8,"Direction state century behind.
Glass its hundred international.
End discussion right expert entire crime. Power her life claim value leave very.",2020-03-06,2021-11-17
96,3,"Majority sing shake institution ability TV hit. Ahead here stand customer dog.
Court piece true add. Decision yard camera. Sort ball leave south generation.",2023-12-12,2024-04-20
97,6,"Ever quite trade since. Task artist even place surface. Good how first image over accept example.
Rich money eight soldier third. Example hand where apply hundred. May one letter bad become health.",2021-01-30,2023-12-01
98,5,"Throw least trial often. Summer sister size writer computer difference nothing lay.
Rather end political manager. Life listen move model step race.
Country action apply surface social peace make.",2022-05-14,2022-08-18
99,6,Close I source wind training tonight. Public draw represent trip couple theory federal. Test weight security.,2023-11-28,2024-06-03
100,7,Paper certain behavior under. Size environment land four bill human marriage. War these whole budget science turn determine.,2023-10-11,2023-12-08
